Char,Total,Upper,Percentage
n,25,5,6.89
e,52,2,14.33
w,12,3,3.31
s,27,2,7.44
f,10,2,2.75
d,9,0,2.48
l,18,2,4.96
a,42,7,11.57
t,35,1,9.64
g,15,3,4.13
o,20,0,5.51
b,4,0,1.1
r,18,1,4.96
m,3,0,0.83
i,22,3,6.06
v,5,1,1.38
y,12,0,3.31
h,12,0,3.31
p,6,2,1.65
u,8,0,2.2
c,6,0,1.65
k,1,0,0.28
z,1,0,0.28
